iter	RMSE
0	0.4267352302
1	0.4215723895
2	0.4169808506
3	0.4129413002
4	0.4086384447
5	0.4050797088
6	0.4020746352
7	0.3992126299
8	0.3964687066
9	0.3941748091
10	0.3921947869
11	0.3902932452
12	0.3887233873
13	0.3871505846
14	0.3860367143
15	0.3847009239
16	0.3834480675
17	0.382636038
18	0.3816354395
19	0.380918338
20	0.3801171479
21	0.3794178406
22	0.3789584974
23	0.3785203603
24	0.3780283358
25	0.3775622171
26	0.377123368
27	0.3765469128
28	0.3759977267
29	0.3754556694
30	0.3751883028
31	0.3749773892
32	0.3747164855
33	0.3744693306
34	0.3742481663
35	0.3741013389
36	0.3738463455
37	0.3736897027
38	0.3734465122
39	0.3730395994
40	0.3728370057
41	0.3726440524
42	0.3724061464
43	0.3722775306
44	0.3721348796
45	0.3720342118
46	0.3719107829
47	0.371765349
48	0.3715287088
49	0.3714208599
50	0.3713087284
51	0.371166516
52	0.3710418215
53	0.3709220545
54	0.370772738
55	0.3706704958
56	0.370575584
57	0.37048495
58	0.3704111531
59	0.3701989184
60	0.3699996427
61	0.3699187634
62	0.3698233135
63	0.3697357867
64	0.3696666027
65	0.3695887252
66	0.3694452701
67	0.3693457757
68	0.3692597998
69	0.3691850849
70	0.3690682474
71	0.3689236727
72	0.368842394
73	0.3687580877
74	0.3687337056
75	0.3685691679
76	0.3684871129
77	0.3684069216
78	0.3683551838
79	0.3682895971
80	0.3682010767
81	0.3681158509
82	0.3680242993
83	0.3679209872
84	0.3678576783
85	0.3677667638
86	0.3677043419
87	0.3676538856
88	0.3675622441
89	0.3674792318
90	0.367360509
91	0.3672998766
92	0.3672433588
93	0.3671742016
94	0.3670839774
95	0.3670322216
96	0.3669527515
97	0.366910242
98	0.3668637943
99	0.3667606839
100	0.3667575803
101	0.366631838
102	0.3666144619
103	0.3665611856
104	0.3664360481
105	0.3663521945
106	0.3663159351
107	0.3662904787
108	0.3662356786
109	0.3661964427
110	0.3661248777
111	0.366075988
112	0.3660174403
113	0.3659176187
114	0.365802121
115	0.3657486899
116	0.3656848792
117	0.3656097573
118	0.365545279
119	0.3655018927
120	0.3654623607
121	0.3654053467
122	0.3653319522
123	0.365271413
124	0.365176334
125	0.3651399133
126	0.3650537543
127	0.36497218
128	0.3648646669
129	0.3648297886
130	0.3648028346
131	0.3647492669
132	0.364676267
133	0.3646127834
134	0.3645382301
135	0.3644579122
136	0.3644231162
137	0.3643584329
138	0.3643330133
139	0.3642394819
140	0.3641875622
141	0.3641738454
142	0.364106075
143	0.3640291776
144	0.3639754238
145	0.3639153957
146	0.3638578032
147	0.3637855438
148	0.3637104384
149	0.363664151
150	0.3635714149
151	0.3635346416
152	0.3634923172
153	0.3634332122
154	0.3633553791
155	0.363320511
156	0.3632501017
157	0.3632101479
158	0.3631521218
159	0.3631050321
160	0.3630298519
161	0.3629280146
162	0.3628946258
163	0.3628515673
164	0.3627857245
165	0.3627761047
166	0.3627198321
167	0.3626761739
168	0.3626111551
169	0.3625739729
170	0.362535738
171	0.3624670142
172	0.3624248686
173	0.3623592535
174	0.3622902109
175	0.3622422722
176	0.3621785678
177	0.3621416428
178	0.3621092605
179	0.3620746139
180	0.3620434624
181	0.3619904752
182	0.3619709006
183	0.3619473385
184	0.3618842673
185	0.3618077396
186	0.361773156
187	0.361728223
188	0.3616796788
189	0.3616387178
190	0.361603295
191	0.3615707423
192	0.361512349
193	0.3614542951
194	0.3613748733
195	0.3613178193
196	0.3612593249
197	0.361234643
198	0.3612031721
199	0.3611830775
200	0.3611519496
201	0.3611053596
202	0.3610480952
203	0.3609770073
204	0.3609322566
205	0.3608773866
206	0.3608209233
207	0.3607538104
208	0.3606713247
209	0.3606391702
210	0.360568395
211	0.3605019098
212	0.3604406958
213	0.3604316959
