iter	Passed	Remaining
0	58	57962
1	61	30636
2	64	21400
3	67	16872
4	70	14091
5	74	12284
6	77	10942
7	80	9983
8	85	9416
9	88	8805
10	92	8272
11	96	7942
12	100	7619
13	103	7294
14	107	7057
15	110	6810
16	114	6646
17	121	6615
18	124	6427
19	127	6269
20	131	6118
21	134	5974
22	137	5839
23	140	5723
24	143	5612
25	147	5517
26	150	5417
27	153	5333
28	156	5250
29	160	5177
30	163	5104
31	166	5032
32	169	4963
33	172	4908
34	176	4870
35	179	4819
36	183	4768
37	186	4719
38	190	4700
39	194	4666
40	198	4638
41	201	4605
42	205	4573
43	210	4564
44	213	4528
45	216	4494
46	219	4456
47	223	4426
48	226	4393
49	229	4365
50	233	4344
51	236	4318
52	241	4316
53	244	4291
54	248	4277
55	252	4257
56	256	4242
57	259	4222
58	263	4198
59	268	4204
60	272	4188
61	276	4180
62	279	4155
63	284	4156
64	288	4146
65	291	4129
66	295	4118
67	299	4099
68	303	4088
69	306	4077
70	310	4059
71	313	4044
72	316	4023
73	320	4006
74	322	3980
75	326	3965
76	329	3947
77	332	3927
78	335	3909
79	338	3893
80	341	3878
81	344	3860
82	348	3845
83	351	3836
84	355	3827
85	359	3820
86	362	3808
87	366	3797
88	369	3782
89	372	3771
90	376	3757
91	379	3748
92	382	3734
93	386	3723
94	389	3712
95	393	3700
96	396	3688
97	399	3679
98	402	3666
99	406	3657
100	408	3636
101	413	3636
102	416	3624
103	420	3619
104	423	3609
105	427	3602
106	430	3594
107	433	3581
108	437	3573
109	440	3562
110	443	3555
111	446	3544
112	450	3534
113	453	3525
114	457	3518
115	460	3507
116	463	3499
117	466	3490
118	469	3479
119	472	3468
120	476	3458
121	479	3451
122	483	3444
123	486	3433
124	489	3424
125	492	3414
126	495	3408
127	499	3401
128	502	3392
129	505	3384
130	508	3375
131	512	3366
132	515	3359
133	518	3349
134	521	3341
135	524	3334
136	528	3329
137	532	3323
138	535	3316
139	538	3308
140	542	3302
141	544	3289
142	547	3282
143	551	3275
144	554	3269
145	557	3263
146	561	3257
147	564	3249
148	567	3241
149	570	3234
150	573	3226
151	578	3225
152	581	3221
153	585	3215
154	588	3210
155	592	3203
156	595	3197
157	598	3190
158	602	3185
159	605	3177
160	608	3172
161	611	3164
162	615	3159
163	618	3151
164	622	3148
165	624	3136
166	627	3131
167	630	3123
168	634	3117
169	637	3110
170	640	3104
171	643	3097
172	646	3091
173	649	3084
174	653	3078
175	656	3072
176	659	3065
177	662	3060
178	665	3053
179	668	3046
180	671	3039
181	675	3034
182	678	3027
183	681	3021
184	684	3016
185	687	3010
186	690	3003
187	694	2998
188	697	2992
189	700	2987
190	704	2983
191	708	2981
192	711	2975
193	714	2970
194	718	2965
195	721	2960
196	725	2955
197	728	2950
198	731	2945
199	734	2939
200	738	2934
201	741	2929
202	744	2923
203	747	2918
204	750	2912
205	755	2910
206	758	2906
207	762	2901
208	765	2898
209	768	2891
210	772	2888
211	775	2882
212	779	2878
213	781	2869
214	784	2864
215	787	2858
216	790	2852
217	793	2847
218	797	2843
219	800	2838
220	803	2832
221	806	2827
222	810	2824
223	813	2818
224	816	2812
225	819	2807
226	823	2802
227	826	2798
228	829	2793
229	832	2788
230	835	2782
231	839	2778
232	842	2774
233	846	2769
